분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지 주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(Y좌표),경도(X좌표),유무료,문화포털상세URL
전시/미술,중구,The Chemical Reaction 에스더블유앤에이부터 리버럴오피스까지 산업디자이너들의 상호 작용,2023-08-31~2023-11-30,DDP 갤러리문,동대문디자인플라자,누구나,,,,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=488&boardno=15&bbstopno=488&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=92db0cfba58345b0baea37de6e6fc7ed&thumb=Y,2023-08-29,기관,2023-08-31,2023-11-30,,37.56681313,127.0096257,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143039&menuNo=200009
클래식,중구,2023 서울시향 뮤지엄 콘서트 : 배재학당역사박물관,2023-08-30~2023-08-30,배재학당역사박물관,서울시립교향악단,시민 누구나,,,,,https://www.seoulphil.or.kr/perf/view?perfNo=5671&calendarDate=&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=86c6c148431443738c7eb13846f2308e&thumb=Y,2023-08-29,기관,2023-08-30,2023-08-30,,37.56378783,126.9720891,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143038&menuNo=200008
교육/체험,은평구,제6회 독서달리기 대회 연계 - 독서의 달 기념 [우리 가족 질문하는힘 기르기 : 하브루타 독서토론],2023-08-31~2023-09-09,"2층 소강당에서 모인 후, 실습은 지하 1층 문화강좌실에서 진행",은평구청,초등 2~4학년 어린이가 포함된 10가족,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1772&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9b2693dc1fc34af0b0ff03aee07b5e8c&thumb=Y,2023-08-28,기관,2023-08-31,2023-09-09,기타,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143026&menuNo=200011
전시/미술,광진구,[세종뮤지엄갤러리] 강형구 기획 초대전,2023-08-30~2023-09-10,세종대학교 대양 AI센터 B2,광진구청,전체,,,,,https://blog.naver.com/sejonggallery,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b9659894fb854ba6ba1ed2c27d475163&thumb=Y,2023-08-28,기관,2023-08-30,2023-09-10,기타,37.55079808,127.0745756,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143022&menuNo=200009
기타,마포구,[8월/팟캐스트] 서강도서관 피셜 37회 '순도 100퍼센트의 휴식',2023-08-25~2023-09-24,온라인(팟빵),마포구청,누구나,무료,,,,https://www.podbbang.com/channels/1776366/episodes/24766033?ucode=L-baTPElcB,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e0623505bb684444bdbb0608a8b5eae2&thumb=Y,2023-08-26,기관,2023-08-25,2023-09-24,기타,37.5477397,126.9320894,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143013&menuNo=200013
교육/체험,마포구,[마포구립서강도서관] 그림책 포카와 민 시리즈로 보는 아동의 성장 (나선희 번역가) ,2023-08-25~2023-09-08,마포구립서강도서관 4층 어린이자료실,마포구청,아동 자녀를 둔 부모,없음,,,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=7367,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5f0087ad0be14a49bca32695f62b7315&thumb=Y,2023-08-25,기관,2023-08-25,2023-09-08,기타,37.5477397,126.9320894,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143010&menuNo=200011
교육/체험,노원구,[서울시립과학관] 토요과학강연(4기),2023-08-26~2023-09-23,서울시립과학관 1층 사이언스 홀,서울시립과학관,이공계 진로를 고민하는 학생부터 과학에 관심이 많은 성인까지(누구나),,,,,https://science.seoul.go.kr/program/lecture/info?menuId=46&progMstId=590,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=adaeb4d204f2451fba69fa6344ad42b0&thumb=Y,2023-08-25,기관,2023-08-26,2023-09-23,어린이/청소년 문화행사,37.64199411,127.0774371,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143007&menuNo=200011
교육/체험,종로구,[돈의문박물관마을] 돈의문 마을이야기 투어,2023-01-05~2023-12-31,돈의문박물관마을 곳곳,돈의문박물관마을,시민 누구나,무료,,"골목골목을 누비며 근현대 100년, 기억의 보관소 돈의문박물관마을을 가장 빠르게 알 수 있는 도슨트 투어! (약 40분 진행)",,https://dmvillage.info/docent,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=55eb01ec63154ec5be9cf5fee5a2e320&thumb=Y,2023-08-24,기관,2023-01-05,2023-12-31,기타,37.56882395,126.9685231,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142994&menuNo=200011
전시/미술,성동구,[서울디자인재단] 플라스틱 탐험대 : SUP 습격!,2023-08-09~2023-12-31,서울새활용플라자,서울디자인재단,누구나,무료,,,,http://www.seoulup.or.kr/detail.do?NTT_ID=notice&BBS_ID=7072,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a194901c636a421ea3223b8ff37f7287&thumb=Y,2023-08-24,기관,2023-08-09,2023-12-31,어린이/청소년 문화행사,37.55868506,127.0578512,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142970&menuNo=200009
교육/체험,중랑구,[중랑문화재단] 옹기테마체험관 옹기테마아카데미,2023-07-20~2023-10-31,옹기테마공원 공예체험장,중랑문화재단,프로그램별 상이,프로그램별 상이,,,,https://jnfac.or.kr/exhibition/program_list.html?gubun=4,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9842aa7cc92f40969e0ee03eba9f4a05&thumb=Y,2023-08-24,기관,2023-07-20,2023-10-31,기타,37.61265372,127.0885194,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142953&menuNo=200011
